stock_code,REPORT_DATE,REPORT_TYPE,TOTAL_ASSETS,TOTAL_LIABILITIES,TOTAL_EQUITY,TOTAL_PARENT_EQUITY,ACCOUNTS_RECE,FIXED_ASSET,INTANGIBLE_ASSET,GOODWILL,SHARE_CAPITAL,CAPITAL_RESERVE,SURPLUS_RESERVE,UNASSIGN_RPOFIT,report_type,OPERATE_INCOME,ASSET_IMPAIRMENT_LOSS,OPERATE_PROFIT,TOTAL_PROFIT,NETPROFIT,PARENT_NETPROFIT,NETCASH_OPERATE,NETCASH_INVEST,NETCASH_FINANCE,has_balance_sheet,has_profit_sheet,has_cash_flow,TOTAL_CURRENT_ASSETS,TOTAL_NONCURRENT_ASSETS,TOTAL_CURRENT_LIAB,TOTAL_NONCURRENT_LIAB,MONETARYFUNDS,INVENTORY,TOTAL_OPERATE_INCOME,OPERATE_COST,SALE_EXPENSE,MANAGE_EXPENSE,FINANCE_EXPENSE,RESEARCH_EXPENSE,SALES_SERVICES,BUY_SERVICES
1,2019-03-31,一季报,3530180000000.0,3279242000000.0,250938000000.0,250938000000.0,,10623000000.0,4575000000.0,7568000000.0,17170000000.0,56465000000.0,10781000000.0,101609000000.0,balance_sheet,32476000000.0,,9667000000.0,9671000000.0,7446000000.0,7446000000.0,53184000000.0,-31790000000.0,18923000000.0,True,True,True,,,,,,,,,,,,,,
1,2019-06-30,中报,3590766000000.0,3334163000000.0,256603000000.0,256603000000.0,,10578000000.0,4769000000.0,7568000000.0,17170000000.0,56465000000.0,10781000000.0,107076000000.0,balance_sheet,67829000000.0,,20037000000.0,20003000000.0,15403000000.0,15403000000.0,26432000000.0,-54409000000.0,27725000000.0,True,True,True,,,,,,,,,,,,,,
1,2019-09-30,三季报,3707683000000.0,3419610000000.0,288073000000.0,288073000000.0,,10587000000.0,4573000000.0,7568000000.0,19406000000.0,80816000000.0,10781000000.0,115293000000.0,balance_sheet,102958000000.0,,30713000000.0,30676000000.0,23621000000.0,23621000000.0,84480000000.0,-78809000000.0,-10527000000.0,True,True,True,,,,,,,,,,,,,,
1,2019-12-31,年报,3939070000000.0,3626087000000.0,312983000000.0,312983000000.0,,11092000000.0,4361000000.0,7568000000.0,19406000000.0,80816000000.0,10781000000.0,113370000000.0,balance_sheet,137958000000.0,,36289000000.0,36240000000.0,28195000000.0,28195000000.0,-40025000000.0,-102056000000.0,158667000000.0,True,True,True,,,,,,,,,,,,,,
1,2020-03-31,一季报,4132298000000.0,3779943000000.0,352355000000.0,352355000000.0,,10608000000.0,4132000000.0,7568000000.0,19406000000.0,80816000000.0,10781000000.0,121044000000.0,balance_sheet,37926000000.0,,10998000000.0,10958000000.0,8548000000.0,8548000000.0,18006000000.0,-2380000000.0,-17456000000.0,True,True,True,,,,,,,,,,,,,,
1,2020-06-30,中报,4178622000000.0,3827225000000.0,351397000000.0,351397000000.0,,10425000000.0,3904000000.0,7568000000.0,19406000000.0,80816000000.0,10781000000.0,121944000000.0,balance_sheet,78328000000.0,,17659000000.0,17587000000.0,13678000000.0,13678000000.0,-25666000000.0,-792000000.0,44193000000.0,True,True,True,,,,,,,,,,,,,,
1,2020-09-30,三季报,4346921000000.0,3988150000000.0,358771000000.0,358771000000.0,,10280000000.0,3903000000.0,7568000000.0,19406000000.0,80816000000.0,10781000000.0,130664000000.0,balance_sheet,116564000000.0,,28923000000.0,28826000000.0,22398000000.0,22398000000.0,30698000000.0,16075000000.0,68644000000.0,True,True,True,,,,,,,,,,,,,,
1,2020-12-31,年报,4468514000000.0,4104383000000.0,364131000000.0,364131000000.0,,10893000000.0,3852000000.0,7568000000.0,19406000000.0,80816000000.0,10781000000.0,131186000000.0,balance_sheet,153542000000.0,,36909000000.0,36754000000.0,28928000000.0,28928000000.0,-16161000000.0,15944000000.0,103401000000.0,True,True,True,,,,,,,,,,,,,,
1,2021-03-31,一季报,4572974000000.0,4200357000000.0,372617000000.0,372617000000.0,,11828000000.0,6328000000.0,7568000000.0,19406000000.0,80816000000.0,10781000000.0,139287000000.0,balance_sheet,41788000000.0,,12929000000.0,12874000000.0,10132000000.0,10132000000.0,-11553000000.0,-13512000000.0,29489000000.0,True,True,True,,,,,,,,,,,,,,
1,2021-06-30,中报,4723520000000.0,4346327000000.0,377193000000.0,377193000000.0,,11473000000.0,6091000000.0,7568000000.0,19406000000.0,80816000000.0,10781000000.0,143239000000.0,balance_sheet,84680000000.0,,22415000000.0,22341000000.0,17583000000.0,17583000000.0,-115972000000.0,-12506000000.0,148699000000.0,True,True,True,,,,,,,,,,,,,,
